	gold tags	textrank	rake trigrams	tf-idf
0	conversations_PROPN, deeppavlov_PROPN, sberdevices_PROPN, yandex_PROPN cloud_NOUN, just_ADP ai_NOUN, диалоговый_ADJ платформа_NOUN, искусственный_ADJ интеллект_NOUN, voximplant_PROPN, проектирование_NOUN, альфа-банк_PROPN, vk_PROPN, kode_PROPN, синтез_NOUN речь_NOUN, mts_PROPN ai_PROPN, agima_PROPN ai_NOUN, распознавание_NOUN речь_NOUN, ux_NOUN, сбер_PROPN, конференция_NOUN, разговорный_ADJ ии_NOUN, nlp_NOUN, генеративный_ADJ модель_NOUN, промокод_NOUN	модель_noun, ai_propn, подход_noun, ml_propn, личность_noun, помощь_noun, инструмент_noun, секция_noun, проектирование_noun, работа_noun, conversations_propn, помощник_noun, deeppavlov_propn, ответ_noun, nlp_propn, класс_noun, technology_propn, схема_noun, интент_noun, решение_noun, бота_noun, бот_noun, сценарий_noun, конференция_noun, kode_propn, инсайт_noun, фреймворка_noun, фреймворкое_noun, спикер_noun, ассистент_noun, платформа_noun, управление_noun, yandex_propn, cloud_propn, офлайн_noun, онлайн_noun, промокод_noun, год_noun, сайт_noun		ai_propn, личность_noun, модель_noun, conversations_propn, проектирование_noun, секция_noun, генеративный_adj модель_noun, помощник_noun, подход_noun, ml_propn, инструмент_noun, офлайн_noun, скидка_noun, разработка_noun личность_noun, technology_propn, голосовой_adj почта_noun, онлайн_noun, ассистент_noun, промокод_noun скидка_noun, спикер_noun, kode_propn, yandex_propn, mts_propn
1	технология_NOUN, нейронный_ADJ сеть_NOUN, приложение_NOUN, ai_NOUN, глубокий_ADJ обучение_NOUN, дипфейк_NOUN, ml_NOUN, автозавершение_NOUN код_NOUN, open_ADJ source_NOUN, генератор_NOUN изображение_NOUN, обработка_NOUN звук_NOUN, база_NOUN данные_NOUN, обнаружение_NOUN объект_NOUN, искусственный_ADJ интеллект_NOUN, фреймворк_NOUN, cv_NOUN, обработка_NOUN видео_NOUN, робототехника_NOUN, нейросеть_NOUN, dl_NOUN, голосовой_ADJ помощник_NOUN, визуализация_NOUN, обучение_NOUN программирование_NOUN, игра_NOUN, обработка_NOUN естественный_ADJ язык_NOUN, nlp_NOUN, библиотека_NOUN, опенсорс_NOUN	обучение_noun, источник_noun, данные_noun, инструмент_noun, модель_noun, моделие_noun, изображение_noun, особенность_noun, _propn, приложение_noun, использование_noun, ии_propn, алгоритм_noun, категория_propn, разработка_noun, код_noun, основа_noun, объект_noun, библиотека_noun, платформа_noun, ml_propn, дипфейк_noun, дипфейка_noun, pytorch_propn, язык_noun, помощь_noun, nlp_propn, java_propn, tensormlow_propn, видео_noun, d_propn, создание_noun, база_noun, проект_noun, игра_noun, технология_noun, среда_noun, гугл_propn, облако_noun, лицо_noun, решение_noun, помощник_noun, год_noun, фреймворка_noun, фреймворк_noun, ap_propn, api_propn, разработчик_noun, обработка_noun, версия_noun, ai_propn, opencv_propn, license_propn, python_propn, cloud_propn, способ_noun, e_propn, docker_propn, поддержка_noun, работа_noun, пользователь_noun, fauxnilot_propn, isr_propn, интеллект_noun, nvidia_propn, машина_noun, gpl_propn, область_noun, производительность_noun, blender_propn, deeppavlov_propn, система_noun, задача_noun, deepfacelab_propn, обнаружение_noun, разрешение_noun, сеть_noun, преобразование_noun, набор_noun, зрение_noun, автомобиль_noun, лицензия_propn, движение_noun, robocode_propn, деталь_noun, функция_noun, интерфейс_noun, mindsdb_propn, развертывание_noun, модуль_noun, мир_noun, процесс_noun, neural_propn, описание_noun, моделирование_noun, прогнозирование_noun, устройство_noun, open_propn, время_noun, возможность_noun, камера_noun, keras_propn, классификация_noun, кадр_noun, bsd_propn, рендеринг_noun, проблема_noun, продукт_noun, copilot_propn, gnu_propn, opennn_propn, network_propn, отправка_noun, команда_noun, экосистема_noun, сервис_noun, речь_noun, net_propn, преимущество_noun, обеспечение_noun, обслуживание_noun, apache_propn, анализ_noun, анимация_noun, политика_noun, политик_noun, слово_noun, пример_noun, архитектура_noun, клиент_noun, разум_noun, применение_noun, средство_noun, производство_noun, отслеживание_noun		обучение_noun, изображение_noun, категория_propn, license_propn, источник_noun, исходный_adj код_noun, особенность_noun, ии_propn, данные_noun, код_noun, инструмент_noun, приложение_noun, модель_noun, компьютерный_adj зрение_noun, глубокий_adj обучение_noun, алгоритм_noun, искусственный_adj интеллект_noun, интеллект_noun, e_propn
2	1_NUM место_NOUN, хакатон_NOUN, граф_NOUN, альфа-банк_NOUN, обработка_NOUN текст_NOUN, svd_PROPN, pytorch-lifestream_PROPN, нейросеть_NOUN, tf-idf_PROPN, lightautoml_PROPN, nlp_NOUN, машинный_ADJ обучение_NOUN, вк_PROPN	признак_noun, данные_noun, пользователь_noun, хакатон_noun, модель_noun, последовательность_noun, друг_noun, _propn, обучение_noun, команда_noun, сосед_noun, качество_noun, идентификатор_noun, задача_noun, соревнование_noun, вид_noun, построение_noun, решение_noun, таргет_noun, эмбеддинг_noun, лик_noun, лики_noun, агрегат_noun, граф_noun, вк_propn, время_noun, место_noun, строка_noun, расстояние_noun, auc_propn, lightbvtoml_propn, топ_noun, название_noun, организатор_noun, идея_noun, хэш_noun, хэша_noun, нейросеть_noun, нейросетие_noun, окрестность_noun, мгу_propn, клиент_noun, бейзлайн_noun, доклад_noun, пространство_noun, data_propn, студент_noun, офис_noun, lifestream_propn, фреймворка_noun, подсказка_noun, бустинг_noun, обработка_noun, помощь_noun, архитектура_noun, жюри_noun, статья_noun, благотворительность_noun, состояние_noun, коробка_noun, добавление_noun, участник_noun	_propn, 0be67_propn, eaaraa2aara22222222_propn, e84b0_propn	признак_noun, друг_noun, хакатон_noun, пользователь_noun, последовательность_noun, _propn, идентификатор_noun, данные_noun, сосед_noun, таргет_noun, обучение_noun, модель_noun, соревнование_noun, эмбеддинг_noun, агрегат_noun, машинный_adj обучение_noun, команда_noun, качество_noun, auc_propn, roc_propn, вид_noun, построение_noun, задача_noun, табличный_adj данные_noun
3	rubert_PROPN, сгенерировать_VERB стихотворение_NOUN, lstm_PROPN, нейронный_ADJ сеть_NOUN, temperature_NOUN, евгений_PROPN онегин_PROPN, ac/dc_PROPN, стих_NOUN, обработка_NOUN естественный_ADJ язык_NOUN, лермонтов_PROPN, nlp_NOUN, трансформер_NOUN	_propn, онегин_propn, онегина_propn, евгений_propn, the_propn, they_propn, смысл_noun, человек_noun, год_noun, друг_noun, шаг_noun, слово_noun, душа_noun, обучение_noun, судьба_noun, сеть_noun, архитектура_noun, rubert_propn, стихи_noun, стих_noun, that_propn, thati_propn, without_propn, alone_propn, what_propn, луна_noun, совесть_noun, герой_noun, тоска_noun, was_propn, плод_noun, by_propn, мысль_noun, поле_noun, жизнь_noun, сосед_noun, and_propn, temperature_propn, улыбка_noun, so_propn, песня_noun, attention_propn, together_propn, went_propn, основа_noun, евгение_noun, поэт_noun, правило_noun, право_noun, lstm_propn, внимание_noun, вопрос_noun, трансформер_noun, пора_noun, london_propn, he_propn, снова_noun, ссылка_noun, рифм_noun, ленский_propn, отражение_noun, использование_noun, подход_noun, произведение_noun, отец_noun, сознание_noun, случай_noun, девочка_noun, общество_noun, пушкин_propn, двор_noun, алгоритм_noun, шутка_noun, обмен_noun, концепция_noun, параметр_noun, ресурс_noun, лед_noun, вражда_noun	_propn	_propn, евгений_propn, temperature_propn, онегин_propn, шаг_noun, нейронный_adj сеть_noun, сеть_noun, смысл_noun, the_propn, честный_adj правило_noun, правило_noun шутка_noun, дядя_noun
4	"дубликат_NOUN, нейросеть_NOUN, entity_NOUN resolution_NOUN, data_NOUN matching_NOUN, data_NOUN quality_NOUN, векторный_ADJ репрезентация_NOUN, zingg_PROPN, интеграция_NOUN данные_NOUN, data_NOUN integration_NOUN, повтор_NOUN, открытый_ADJ исходный_ADJ код_NOUN, дедупликация_NOUN, улучшение_NOUN качество_NOUN данные_NOUN, entity_NOUN matching_NOUN, record_NOUN linkage_NOUN, эмбеддинг_NOUN
"	_propn, данные_noun, zingg_propn, запись_noun, дубликат_noun, data_propn, задача_noun, пара_noun, пар_noun, решение_noun, датасет_noun, инструмент_noun, разработчик_noun, таблица_noun, алгоритм_noun, шаг_noun, entity_propn, модель_noun, количество_noun, обучение_noun, фаза_noun, похожесть_noun, процесс_noun, набор_noun, результат_noun, работа_noun, система_noun, область_noun, resolution_propn, дедупликация_noun, сущность_noun, блок_noun, метод_noun, пример_noun, поиск_noun, образ_noun, использование_noun, статья_noun, matching_propn, бенчмарк_noun, бенчмарка_noun, случай_noun, json_propn, источник_noun, формат_noun, вид_noun, dedupe_propn, термин_noun, группа_noun, docker_propn, er_propn, пользователь_noun, precision_propn, java_propn, on_propn, колонка_noun, quality_propn, матчинг_noun, признак_noun, связывание_noun, сообщество_noun, файл_noun, основа_noun, ieee_propn, blocking_propn, match_propn, оценка_noun, _noun, разметка_noun, проблема_noun, получение_noun, кластер_noun, spark_propn, эксперимент_noun, a_propn, record_propn, deep_propn, the_propn, notebook_propn, платформа_noun, критерий_noun, функция_noun, помощь_noun, время_noun, li_propn, обзор_noun, метрик_noun, основное_noun, база_noun, detection_propn, блокинг_noun, автор_noun, параметр_noun, выход_noun, сценарий_noun, phase_propn, возможность_noun, conf_propn, survey_propn, сайт_noun, recall_propn, sql_propn, усилие_noun, train_propn, duplicate_propn, опечатка_noun		_propn, zingg_propn, запись_noun, entity_propn, данные_noun, дубликат_noun, data_propn, датасет_noun, resolution_propn, пара_noun, количество_noun, похожесть_noun, фаза_noun, шаг_noun, задача_noun, таблица_noun, разработчик_noun, дедупликация_noun, алгоритм_noun, инструмент_noun, обучение_noun
